,x,x,R,R,H,H,mu,mu,syn_H,syn_H
804,1.0197967393960252,1.1447454971783209,0.1272048741874348,0.1171331241193426,0.0576079273946952,0.3183579059503744,-0.0005683014900180781,0.000692023918017183,1.558974803499182e-05,0.0004041639297683008
814,1.0140575580072162,1.152189296211245,0.1298055559047736,0.1173701662991,0.0581135036438643,0.3199482245819156,-0.0005659620939157954,0.000646056950659206,1.7667584709844926e-05,0.00036573663749633797
824,1.0083879673128118,1.158689013187012,0.1320852649681056,0.1176412584478746,0.0586035115336046,0.3215263060093162,-0.0005622429935883658,0.0005609543977541763,1.605137521458612e-05,0.00033816973808964337
834,1.0029117506093723,1.163458110490438,0.1341496125040722,0.1178828656741566,0.0591010972809623,0.323324792896249,-0.0005460317620281231,0.000409907091662773,1.7487498449650475e-05,0.0003123818142118491
844,0.9977822209014152,1.166191187279575,0.1356373606184105,0.1186057206585917,0.0595724200707172,0.3252659014612367,-0.0005140931157625748,0.0002343592387722026,1.6506507927817713e-05,0.0002703399255637789
854,0.9928381667255554,1.1665562538115672,0.1367995187846209,0.1194697087178865,0.0600504616622076,0.3275432241064225,-0.0004979718086549462,3.129437871508573e-05,1.7900722144546345e-05,0.00023798252621932855
864,0.9880161396376254,1.16469589385875,0.1377701664529833,0.1208772179486901,0.0605361394023127,0.3302701552216125,-0.0004880514492099874,-0.00015972924457162386,1.902302344563337e-05,0.00021993930912090012
874,0.9834429940593046,1.16113642456046,0.138639086173603,0.1223451749123212,0.0610582454140313,0.333199110809959,-0.00046501379398153564,-0.0003065504813215455,2.3817674818025568e-05,0.00019075321103994544
884,0.9790564212701444,1.1566274005894337,0.1396597883480654,0.123893883290467,0.0615643309035767,0.3361373610918934,-0.00044804085789759175,-0.00038984239598063375,2.302521332061034e-05,0.00016278443396676844
894,0.974813134875564,1.1516228886039204,0.1407167911801729,0.1254735739750996,0.0620670106314088,0.3390506898327046,-0.00043529228759541097,-0.00043456169854179903,2.325068174125528e-05,0.0001439944304156495
904,0.9707293596439176,1.1464413432892826,0.1417554971968742,0.1268952722362595,0.062571925317115,0.3417281864319573,-0.00042069143073455496,-0.0004519677648549618,2.4167995785147395e-05,0.00011329953531567899
914,0.966916761349976,1.1412005706319637,0.1425436918824364,0.1284047222886973,0.0630682275108334,0.3443771616751559,-0.00039430470608645054,-0.00045923326645523307,2.4762120459786698e-05,0.00010674807547119883
924,0.9633104622030052,1.1358887629470666,0.1432516943393671,0.1298933226781027,0.0635296816956508,0.3469246780684757,-0.0003743652008848179,-0.00046763449539861013,2.236211643160029e-05,9.251769256210239e-05
934,0.9598658912732824,1.1307121484265,0.1438141847791667,0.131702784678218,0.0640147985851948,0.3492763441382347,-0.0003588596033091184,-0.00045781895310583744,2.553936372820266e-05,7.526127675789982e-05
944,0.9567021844521838,1.1257031304880978,0.1443430811105168,0.1329907381822909,0.0644525625830009,0.3514437088609246,-0.00033068878408698657,-0.00044496793184098724,2.2462660228747954e-05,6.0355291978614084e-05
954,0.9537410417197532,1.1208072001626594,0.1447784681147034,0.1339598463029962,0.0648653844890216,0.3535435813563833,-0.0003104765971999289,-0.00043682181241589134,2.114300674985319e-05,5.555170156977272e-05
964,0.9509604703535376,1.1160885243218217,0.1453903181151167,0.1344254030803275,0.065212595275137,0.3553970984809074,-0.00029239610403383406,-0.0004227868791774368,1.5653169819154284e-05,3.5094482316949454e-05
974,0.9482787633141924,1.1115998970795211,0.1459026354297656,0.1350331460492228,0.0655283337414627,0.3571849359175864,-0.000282797331659393,-0.0004037988177305027,1.3042608702399193e-05,3.4552888833231765e-05
984,0.9457379097945202,1.107234872780252,0.1466389803640646,0.1355150405484687,0.065786381431495,0.3590141948923315,-0.00026866360049204307,-0.00039422749468761745,8.130362904500923e-06,4.139263086481594e-05
994,0.9432381937128024,1.1030109392743808,0.1473054251593942,0.1362791767125544,0.0660612522567135,0.3609461836456829,-0.00026501429844336377,-0.00038294574926426965,9.979906100747104e-06,5.497606859486851e-05
1004,0.9408469143157064,1.0989989725214449,0.147983299950587,0.137208216626895,0.0663117841909794,0.3630198097355234,-0.0002541624318165674,-0.0003650564607654925,8.199229098515167e-06,7.483988205423371e-05
1014,0.9385012746171584,1.0951429891449769,0.1483449377374278,0.1380859564691716,0.0666024145667264,0.3652855596006229,-0.00024993463109625685,-0.0003520986222519216,1.2416787659845575e-05,9.795844424605158e-05
1024,0.936257744089766,1.0913942867786244,0.1486300875901032,0.138688401714734,0.0668819413359395,0.3675931250363436,-0.00023962744677466096,-0.0003434782838580933,1.1925928083645978e-05,0.00010449628782655248
1034,0.9341859788260696,1.087769935595448,0.1484759232713625,0.139034539744314,0.0671616736875414,0.3699173536462324,-0.00022177224992178844,-0.0003331909684737159,1.3078639677991479e-05,0.00010916973967225676
1044,0.932258674837984,1.0842663386476223,0.1482881690101426,0.1394219352655081,0.0674447058059126,0.3721687561315514,-0.00020673489452061663,-0.00032313065738032555,1.4360037696359677e-05,0.00010488111370669578
1054,0.9304950228439413,1.0810145401737097,0.1481441504747243,0.1401607660702336,0.0677479502909205,0.3742443155125955,-0.00018953911098334875,-0.0003008098737867229,1.748356223170513e-05,9.497955278966662e-05
1064,0.9289217754906826,1.077797219580516,0.1482610916643971,0.1409040258740502,0.0680278068430165,0.3762379630032747,-0.0001693627380440798,-0.00029850889710457504,1.6464279579533217e-05,8.705436968294122e-05
1074,0.9274765731702904,1.0747678486058003,0.1485947853837859,0.1418508949653251,0.0683262874046594,0.3783670658203821,-0.00015582089749740645,-0.00028186282076129407,1.9201392738230495e-05,0.00010626267325543043
1084,0.9260332613319756,1.0719324524403242,0.1489718700851429,0.1426023409044778,0.0686046886140796,0.380646964522944,-0.0001558596109430019,-0.0002645125781033272,1.7147420865763857e-05,0.00012730396032302038
1094,0.9245823160909372,1.069156175713823,0.1496496994228495,0.1433612343664727,0.0688926343524907,0.3831174938852479,-0.00015692980665830573,-0.00025966989571449424,1.7983266051991677e-05,0.00014756885654681014
